2026-06-18 16:34:20,438 | INFO | trying to start a mission
2026-06-18 16:35:25,013 | INFO | trying to start a mission
2026-06-18 16:35:25,113 | INFO | succes start
2026-06-18 16:37:54,564 | INFO | trying to complet a mission
2026-06-18 16:37:54,609 | ERROR | you cant start if not assigned
2026-06-18 16:38:02,659 | INFO | trying to complet a mission
2026-06-18 16:38:02,755 | INFO | succes completed
2026-06-18 16:42:31,619 | INFO | trying to failed a mission
2026-06-18 16:42:31,660 | ERROR | you cant failed if not assigned
2026-06-18 16:42:49,847 | INFO | trying to failed a mission
2026-06-18 16:42:49,930 | INFO | succes failed
2026-06-18 16:43:00,085 | INFO | trying to cancel a mission
2026-06-18 16:43:00,091 | ERROR | you cant canceld if not assigned
2026-06-18 16:43:03,378 | INFO | trying to cancel a mission
2026-06-18 16:43:03,383 | ERROR | you cant canceld if not assigned
